accuracy,loss,val_accuracy,val_loss,learning_rate
0.860701858997345,0.46774986386299133,0.9114794135093689,0.2748463451862335,0.0010000000474974513
0.9125539064407349,0.27468007802963257,0.9284223318099976,0.23191767930984497,0.0010000000474974513
0.9209986329078674,0.25574520230293274,0.935666024684906,0.203984797000885,0.0010000000474974513
0.9229980111122131,0.24362508952617645,0.9386126399040222,0.19293607771396637,0.0010000000474974513
0.9271019697189331,0.23667094111442566,0.9394720792770386,0.20147638022899628,0.0010000000474974513
0.9297590255737305,0.23069560527801514,0.945979118347168,0.17495828866958618,0.0010000000474974513
0.9322582483291626,0.22361670434474945,0.9451196789741516,0.1883903592824936,0.0010000000474974513
0.9319688677787781,0.22813169658184052,0.9445058107376099,0.18656736612319946,0.0010000000474974513
0.9336788654327393,0.2257704883813858,0.9419275522232056,0.19859957695007324,0.0010000000474974513
0.9445701241493225,0.17920151352882385,0.9542050361633301,0.1468602418899536,0.00020000000949949026
0.9458591938018799,0.1713537722826004,0.952731728553772,0.15820865333080292,0.00020000000949949026
0.9476743936538696,0.16436614096164703,0.9546961188316345,0.14832524955272675,0.00020000000949949026
0.946411669254303,0.16555865108966827,0.9556783437728882,0.14281758666038513,0.00020000000949949026
0.9470956325531006,0.16648231446743011,0.9589932560920715,0.1377972662448883,0.00020000000949949026
0.949726402759552,0.15201547741889954,0.9566605091094971,0.14412765204906464,0.00020000000949949026
0.9513574838638306,0.15163682401180267,0.957028865814209,0.14177970588207245,0.00020000000949949026
0.9501736164093018,0.15561409294605255,0.9575199484825134,0.14154966175556183,0.00020000000949949026
0.9541986584663391,0.14217592775821686,0.9581338167190552,0.1336507499217987,4.0000002627493814e-05
0.9525676369667053,0.14602158963680267,0.9596071243286133,0.1331256777048111,4.0000002627493814e-05
0.9526465535163879,0.144666388630867,0.9589932560920715,0.13193407654762268,4.0000002627493814e-05
